TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TX_FRAUD,TX_FRAUD_SCENARIO
39,2018-08-20 00:33:56,4691,3227,44.81,2036,141,0,0
40,2018-08-20 00:33:57,4613,4971,33.95,2037,141,0,0
41,2018-08-20 00:34:14,3445,7820,36.7,2054,141,0,0
42,2018-08-20 00:34:29,731,9969,53.55,2069,141,0,0
43,2018-08-20 00:34:45,3425,2930,119.56,2085,141,0,0
44,2018-08-20 00:36:18,2916,1315,16.48,2178,141,0,0
45,2018-08-20 00:36:39,855,4297,78.32,2199,141,0,0
46,2018-08-20 00:36:39,2033,2061,48.03,2199,141,0,0
47,2018-08-20 00:37:06,4999,3885,38.41,2226,141,0,0
48,2018-08-20 00:37:45,1660,1562,43.52,2265,141,0,0
49,2018-08-20 00:38:22,4853,1417,10.8,2302,141,0,0
50,2018-08-20 00:38:40,4489,4112,130.35,2320,141,0,0
51,2018-08-20 00:38:55,4710,511,12.48,2335,141,0,0
52,2018-08-20 00:39:10,4106,4930,83.65,2350,141,0,0
53,2018-08-20 00:40:12,935,7005,8.37,2412,141,0,0
54,2018-08-20 00:43:00,4143,6255,59.27,2580,141,0,0
55,2018-08-20 00:43:59,382,2079,15.35,2639,141,0,0
56,2018-08-20 00:44:14,2594,5446,71.91,2654,141,0,0
57,2018-08-20 00:44:20,4465,8405,34.56,2660,141,0,0
58,2018-08-20 00:45:46,3765,8705,20.8,2746,141,0,0
59,2018-08-20 00:45:51,381,7869,23.15,2751,141,0,0
60,2018-08-20 00:46:39,1380,8113,4.56,2799,141,0,0
61,2018-08-20 00:47:24,3431,7795,56.14,2844,141,0,0
62,2018-08-20 00:47:48,3873,1273,18.93,2868,141,0,0
63,2018-08-20 00:48:13,2798,8688,76.93,2893,141,0,0
64,2018-08-20 00:48:26,4401,1409,24.08,2906,141,0,0
65,2018-08-20 00:48:27,1181,6730,56.48,2907,141,0,0
66,2018-08-20 00:49:01,4044,6763,96.71,2941,141,0,0
67,2018-08-20 00:50:02,1525,3736,70.01,3002,141,0,0
68,2018-08-20 00:50:33,2373,5821,25.99,3033,141,0,0
69,2018-08-20 00:51:19,4235,3352,24.91,3079,141,0,0
70,2018-08-20 00:51:21,712,6214,20.25,3081,141,0,0
71,2018-08-20 00:51:33,1597,4721,83.07,3093,141,0,0
72,2018-08-20 00:51:48,1186,3592,124.86,3108,141,0,0
73,2018-08-20 00:52:16,2109,5559,68.86,3136,141,0,0
74,2018-08-20 00:53:28,3615,4739,23.02,3208,141,0,0
75,2018-08-20 00:55:44,3332,2254,54.8,3344,141,0,0
76,2018-08-20 00:55:48,3904,8641,46.01,3348,141,0,0
77,2018-08-20 00:55:48,4757,2889,37.11,3348,141,0,0
78,2018-08-20 00:57:10,975,8457,16.56,3430,141,0,0
79,2018-08-20 00:57:25,426,2606,82.58,3445,141,0,0
80,2018-08-20 00:57:30,3657,5864,25.22,3450,141,0,0
81,2018-08-20 00:57:34,4113,8376,20.86,3454,141,0,0
82,2018-08-20 00:58:09,1705,1967,21.76,3489,141,0,0
83,2018-08-20 00:58:36,1505,9817,19.88,3516,141,0,0
84,2018-08-20 00:59:37,2955,3734,52.5,3577,141,0,0
85,2018-08-20 00:59:43,2874,2603,15.88,3583,141,0,0
86,2018-08-20 01:00:17,893,7750,4.94,3617,141,0,0
87,2018-08-20 01:01:51,2873,4072,66.08,3711,141,0,0
88,2018-08-20 01:03:08,1073,6612,85.33,3788,141,0,0
89,2018-08-20 01:05:34,3387,7836,52.45,3934,141,0,0
90,2018-08-20 01:05:34,4967,5237,9.58,3934,141,0,0
91,2018-08-20 01:07:32,1396,6038,5420.0,4052,141,1,1
92,2018-08-20 01:08:19,3411,1783,120.0,4099,141,1,2
93,2018-08-20 01:09:14,3851,4844,644.3,4154,141,1,3
94,2018-08-20 01:10:07,4115,3550,5.54,4207,141,0,0
95,2018-08-20 01:11:00,8,3665,2.08,4260,141,0,0
96,2018-08-20 01:11:03,1854,293,115.0,4263,141,1,2
97,2018-08-20 01:11:14,4846,7374,4800.0,4274,141,1,1
98,2018-08-20 01:11:16,786,5372,46.77,4276,141,0,0
99,2018-08-20 01:11:32,535,6542,5.83,4292,141,0,0
100,2018-08-20 01:12:39,3744,5737,6200.0,4359,141,1,3
